State,Abbreviation,pop_est_2021
Alabama,AL,5039877
Alaska,AK,732673
Arizona,AZ,7276316
Arkansas,AR,3025891
California,CA,39237836
Colorado,CO,5812069
Connecticut,CT,3605597
Delaware,DL,1003384
District of Columbia,DC,670050
Florida,FL,21781128
Georgia,GA,10799566
Hawaii,HI,1441553
Idaho,ID,1900923
Illinois,IL,12671469
Indiana,IN,6805985
Iowa,IA,3193079
Kansas,KS,2934582
Kentucky,KY,4509394
Louisiana,LA,4624047
Maine,ME,1372247
Maryland,MD,6165129
Massachusetts,MA,6984723
Michigan,MI,10050811
Minnesota,MN,5707390
Mississippi,MS,2949965
Missouri,MO,6168187
Montana,MT,1104271
Nebraska,NE,1963692
Nevada,NV,3143991
New Hampshire,NH,1388992
New Jersey,NJ,9267130
New Mexico,NM,2115877
New York,NY,19835913
North Carolina,NC,10551162
North Dakota,ND,774948
Ohio,OH,11780017
Oklahoma,OK,3986639
Oregon,OR,4246155
Pennsylvania,PA,12964056
Rhode Island,RI,1095610
South Carolina,SC,5190705
South Dakota,SD,895376
Tennessee,TN,6975218
Texas,TX,29527941
Utah,UT,3337975
Vermont,VT,645570
Virginia,VA,8642274
Washington,WA,7738692
West Virginia,WV,1782959
Wisconsin,WI,5895908
Wyoming,WY,578803